Nombre.de.Comunidad,Código.de.Provincia,Nombre.de.Provincia,Población,Total.censo.electoral,Total.votantes,Votos.válidos,Votos.a.candidaturas,Votos.en.blanco,Votos.nulos,siglas,votos,sobrevalido,swingfactor_abs,swingfactor
Canarias,35,Las Palmas,1098406,842916,508957,502506,499004,3502,6451,ERC-CATSÍ,0,0,1.1819656201767403,0
Canarias,38,Santa Cruz de Tenerife,1001900,833373,481925,476666,473883,2783,5259,ERC-CATSÍ,0,0,1.2581071785374423,0
Cantabria,39,Cantabria,585179,498203,341348,337567,335113,2454,3781,ERC-CATSÍ,0,0,0.9392647389515052,0
Castilla - La Mancha,2,Albacete,394580,310083,221706,219473,218043,1430,2233,ERC-CATSÍ,0,0,0.8502708455678165,0
Castilla - La Mancha,13,Ciudad Real,513713,400552,282634,279396,277457,1939,3238,ERC-CATSÍ,0,0,0.8782480415689832,0
Castilla - La Mancha,16,Cuenca,203841,157835,117118,115849,115026,823,1269,ERC-CATSÍ,0,0,0.7696060045183283,0
Castilla - La Mancha,19,Guadalajara,253686,182408,132903,131538,130716,822,1365,ERC-CATSÍ,0,0,0.8096571833145115,0
Castilla - La Mancha,45,Toledo,693371,518206,371866,367503,365529,1974,4363,ERC-CATSÍ,0,0,0.842474187866627,0
Castilla y León,5,Ávila,164925,139218,100106,98917,98200,717,1189,ERC-CATSÍ,0,0,0.8381285291099745,0
Castilla y León,9,Burgos,364002,300243,209246,206981,205169,1812,2265,ERC-CATSÍ,0,0,0.9041701679078291,0
Castilla y León,24,León,479395,440263,284076,280858,278461,2397,3218,ERC-CATSÍ,0,0,1.0583484659042242,0
Castilla y León,34,Palencia,166035,143769,101838,100626,99788,838,1212,ERC-CATSÍ,0,0,0.8700935674605698,0
Castilla y León,37,Salamanca,339395,308612,204615,202483,201040,1443,2132,ERC-CATSÍ,0,0,1.0053192356495122,0
Castilla y León,40,Segovia,157570,120823,89662,88525,87910,615,1137,ERC-CATSÍ,0,0,0.7694098847172584,0
Castilla y León,42,Soria,91006,76814,50337,49618,49018,600,719,ERC-CATSÍ,0,0,1.0283107699701468,0
Castilla y León,47,Valladolid,526288,433056,319280,315768,313534,2234,3512,ERC-CATSÍ,0,0,0.7837951850043215,0
Castilla y León,49,Zamora,183436,173320,110339,108893,107883,1010,1446,ERC-CATSÍ,0,0,1.0840688406176278,0
Cataluña,8,Barcelona,5523922,4131319,2659818,2643933,2622852,21081,15885,ERC-CATSÍ,438126,16.57099480206193,1.0625951302898626,6.300758479871456
Cataluña,17,Girona,753054,512366,310377,307853,305211,2642,2524,ERC-CATSÍ,80824,26.254088802123093,1.1760977155007135,9.982543270769238
Cataluña,25,Lleida,436029,313207,182909,181159,179003,2156,1750,ERC-CATSÍ,45525,25.129858301271256,1.2410871524930254,9.55507920200428
Cataluña,43,Tarragona,795101,562990,347861,344620,341560,3060,3241,ERC-CATSÍ,67759,19.661946491788058,1.139972218737824,7.476025282048692
Extremadura,6,Badajoz,686730,558228,382981,377949,375230,2719,5032,ERC-CATSÍ,0,0,0.9365586208921605,0
Extremadura,10,Cáceres,406267,349082,239735,236205,234666,1539,3530,ERC-CATSÍ,0,0,0.9344916107886598,0
Galicia,15,A Coruña,1127196,1087472,651065,643389,636696,6693,7676,ERC-CATSÍ,0,0,1.1972080117288424,0
Galicia,27,Lugo,339386,348561,196272,192957,190869,2088,3315,ERC-CATSÍ,0,0,1.3034240559407635,0
Galicia,32,Ourense,318391,364469,188562,186177,184650,1527,2385,ERC-CATSÍ,0,0,1.4398541976695018,0
Galicia,36,Pontevedra,947374,901233,551762,544673,540255,4418,7089,ERC-CATSÍ,0,0,1.1568313436579687,0
Comunidad de Madrid,28,Madrid,6436996,4927932,3489376,3465795,3447658,18137,23581,ERC-CATSÍ,0,0,0.8708794774093342,0
